bairro,desc,tipo,imagem,area total,area util,valor
Saguacu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1373501930/22672601930.jpg,75 M² TOTAL,75 M² ÚTIL,1800.0
Costa e Silva,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1326901930/26195701930.jpg,80 M² TOTAL,80 M² ÚTIL,1800.0
Costa e Silva,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1327001930/26197001930.jpg,80 M² TOTAL,80 M² ÚTIL,1800.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/652001930/25487701930.jpg,"76,26 M² TOTAL","39,19 M² ÚTIL",1800.0
Saguacu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1373501930/22672601930.jpg,75 M² TOTAL,75 M² ÚTIL,1800.0
Costa e Silva,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1326901930/26195701930.jpg,80 M² TOTAL,80 M² ÚTIL,1800.0
Costa e Silva,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1327001930/26197001930.jpg,80 M² TOTAL,80 M² ÚTIL,1800.0
Atiradores,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1268001930/18834001930.jpg,"48,19 M² TOTAL","48,19 M² ÚTIL",1800.0
Bucarein,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/890401930/27083501930.jpg,"235,71 M² TOTAL","168,34 M² ÚTIL",1800.0
Santo Antonio,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1497701930/27045901930.jpg,"69,14 M² TOTAL","49,27 M² ÚTIL",1800.0
America,Apartamento,Apartamento,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/412101930/27026201930.jpg,"169,91 M² TOTAL",133 M² ÚTIL,1800.0
Santo Antonio,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1118001930/25749401930.jpg,"80,9 M² TOTAL","80,9 M² ÚTIL",1800.0
